                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8116,                 4.3255,                 4.0025,                      0,                      0,                      0,                      0,                 2.2768,                 3.7186,                 3.3746,                 0.0892,                 0.0012,                 0.0012
                      2,                 2.6675,                 3.2629,                 3.3047,                      0,                      0,                      0,                      0,                 2.2568,                 4.4992,                 3.5307,               0.077498,              0.0024975,              0.0024975
                      3,                 2.6413,                 2.6697,                 3.2662,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.065792,              0.0037925,              0.0037925
                      4,                 2.6669,                 2.3921,                 3.2475,                0.00272,                0.01818,                0.00143,                0.00036,                    nan,                    nan,                    nan,               0.054085,              0.0050849,              0.0050849
                      5,                 2.5587,                 2.2911,                 3.1306,                0.00148,                0.09091,                0.00096,                0.00028,                    nan,                    nan,                    nan,               0.042375,              0.0063747,              0.0063747
                      6,                 2.4583,                 2.2991,                 3.0695,                0.00148,                0.09091,                0.00096,                0.00028,                    nan,                    nan,                    nan,               0.030662,              0.0076619,              0.0076619
                      7,                  2.418,                 2.2708,                  3.035,                0.00148,                0.09091,                0.00096,                0.00028,                    nan,                    nan,                    nan,               0.018947,              0.0089465,              0.0089465
                      8,                 2.2997,                 2.1491,                 2.9731,                0.00315,                0.29845,                0.00234,                0.00061,                    nan,                    nan,                    nan,              0.0099307,              0.0099307,              0.0099307
                      9,                 2.2997,                 2.1003,                  2.963,                0.00315,                0.29845,                0.00234,                0.00061,                    nan,                    nan,                    nan,              0.0099208,              0.0099208,              0.0099208
                     10,                 2.2413,                 2.2986,                 2.9586,                0.00315,                0.29845,                0.00234,                0.00061,                    nan,                    nan,                    nan,              0.0099109,              0.0099109,              0.0099109
                     11,                 2.2159,                 2.0612,                 2.9242,                0.00607,                0.08803,                0.00346,                0.00183,                 2.7636,                 5.3084,                 7.1503,               0.009901,               0.009901,               0.009901
                     12,                 2.1404,                 2.0382,                  2.855,                0.00092,                0.05765,                 0.0005,                0.00029,                 2.4983,                 6.8162,                 4.4506,              0.0098911,              0.0098911,              0.0098911
                     13,                 2.1646,                 1.9295,                 2.8646,                0.03298,                0.87871,                0.05676,                0.02589,                 1.9917,                 3.4866,                 2.7825,              0.0098812,              0.0098812,              0.0098812
                     14,                 2.1812,                 1.9751,                 2.8579,                0.10788,                0.27095,                0.07401,                0.02525,                 2.3417,                 4.5709,                 3.0167,              0.0098713,              0.0098713,              0.0098713
                     15,                 2.0478,                 1.8884,                 2.7876,                0.07761,                0.17938,                 0.1504,                0.07535,                 1.9027,                 2.7619,                 2.8424,              0.0098614,              0.0098614,              0.0098614
                     16,                 2.1049,                 1.8863,                 2.8309,                0.41956,                0.01818,                0.03454,                 0.0166,                 1.7523,                  4.366,                 3.4707,              0.0098515,              0.0098515,              0.0098515
                     17,                 2.0042,                 1.7935,                 2.7447,                0.25139,                0.62661,                0.44585,                 0.1819,                 1.8369,                 3.5961,                 2.8483,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.9705,                 1.8438,                 2.7179,                0.06527,                0.16718,                0.09493,                0.05261,                 1.6397,                 3.0716,                 2.8213,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.8559,                 1.8011,                 2.6827,                0.37135,                0.81774,                0.47925,                0.25471,                 1.7144,                 3.7163,                 2.5711,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.9223,                 1.7171,                 2.6449,                0.44799,                0.78838,                0.55581,                0.30057,                 1.6212,                 4.0787,                 2.5054,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.8417,                 1.7196,                 2.6367,                0.28986,                0.40067,                0.25974,                0.10057,                 2.1467,                 4.2254,                 3.0581,               0.009802,               0.009802,               0.009802
                     22,                 1.7481,                 1.6631,                 2.5718,                 0.3536,                0.62985,                0.39806,                0.16996,                 1.8968,                 6.2225,                 2.9549,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.8561,                 1.7572,                 2.5854,                0.07871,                0.30022,                0.13969,                0.05613,                 2.2298,                 21.926,                 3.0695,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.7766,                 1.6497,                 2.5488,                0.43799,                0.70816,                0.47106,                0.23522,                 1.5889,                 2.3241,                 2.5659,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.7607,                 1.6478,                 2.5592,                0.44839,                 0.8318,                0.54124,                0.30979,                 1.4365,                 1.9374,                 2.4345,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.7721,                 1.6005,                  2.508,                  0.371,                0.35299,                0.30368,                 0.1607,                 1.6304,                 2.1278,                 2.6027,              0.0097525,              0.0097525,              0.0097525
                     27,                 1.6618,                 1.5898,                 2.4323,                0.28866,                0.23254,                0.10612,                0.04177,                 2.3973,                 4.0253,                 3.2368,              0.0097426,              0.0097426,              0.0097426
                     28,                 1.6302,                 1.5351,                 2.4324,                0.55867,                0.78594,                0.64583,                0.34838,                 1.6363,                 1.4819,                 2.5164,              0.0097327,              0.0097327,              0.0097327
